[Effect Descriptions]|en|fi|pt|ru|zh|ja|ko|de
effect_off_1|Hellfire|Kiirastuli|Fogo do Inferno|Адское пламя|地狱火|ヘルファイア|지옥의 불|Höllenfeuer
effect_off_2|Coldsnap|Kylmän puraisu|Onda de Frio|Холодная хватка|寒潮|コールドスナップ|한파|Kälteeinbruch
effect_off_3|Hex|Manaus|Hex|Сглаз|妖法|呪い|헥스|Fluch
effect_off_4|Bash|Tälli|Esmagamento|Оглушение|狂怒击|強打|강타|Hieb
effect_off_5|Deadly Poison|Kuolettava myrkky|Veneno Mortal|Смертоносный яд|致命毒药|致命的な毒薬|맹독|Tödliches Gift
effect_off_6|Critical Strike|Kriittinen isku|Golpe Crítico|Критический удар|暴击|クリティカル・ストライク|치명타|Kritischer Treffer
effect_off_7|Lightning Fury|Sähköisku|Fúria do Raio|Неистовство молний|闪电之怒|雷光の怒り|번개의 분노|Zorn des Blitzes
effect_off_8|Windfury|Myrskytuuli|Fúria do Vento|Неистовство ветра|风怒|強風の怒り|바람의 분노|Sturmwind
effect_off_9|Poison Nova|Myrkkynova|Nova de Veneno|Волна яда|剧毒新星|ポイズン・ノヴァ|포이즌 노바|Gift Explosion
effect_off_10|Butcher's Fury|Teurastajan viha|Fúria do Açougueiro|Ярость мясника|屠夫之怒|ブッチャーの怒り|도살자의 분노|Wut des Metzgers
effect_off_11|Chilling Death|Hyytävä kuolema|Morte Congelante|Леденящая смерть|寒冷死亡|チリング・デス（寒冷の死）|오싹한 죽음|Eisiger Tod
effect_off_12|Doom Cannon|Tuhokanuuna|Canhão da Desgraça|Ядрёные ядра|末日加农炮|ドゥーム・キャノン|파멸포|Schicksalskanone
effect_off_13|Ninja Shiv|Ninjaveitsi|Lâmina Ninja|Техника ниндзя|忍者剃刀|忍者のカミソリ|닌자도|Ninja-Klinge
effect_off_14|Tomahawk|Tomahawk|Machadinha|Томагавк|战斧|トマホーク|토마호크|Tomahawk
effect_off_15|Ground Slam|Maanläimäys|Batida no Chão|Землетрясение|地面重击|グラウンド・スラム|그라운드 슬램|Bodenschmettern
effect_off_16|Death Coil|Sielukallo|Bobina da Morte|Череп душ|灵魂头骨|魂のドクロ|데스 코일|Seelenschädel
effect_off_17|Double Shot|Double Shot|Tiro Duplo|Double Shot|Double Shot|Double Shot|더블 샷|Double Shot
effect_off_18|Spectral Shots|Aaveammukset|Tiros Espectrais|Спектральные снаряды|光频扫射|スペクトル・ショット|스펙트럴 샷|Spektrale Schüsse
effect_off_19|Flamethrower|Liekinheitin|Lança-Chamas|Огнемет|火焰喷射器|火炎放射器|화염방사기|Flammenwerfer
effect_off_20|Multishot|Monilaukaus|Multitiros|Мультивыстрел|多重扫射|マルチショット|멀티 샷|Mehrfachschuss
effect_off_21|Piercing|Lävistävä|Perfurante|Пронзание|穿孔|貫通する|피어싱|Durchdringung
effect_off_22|Burst Shot|Räjähtävä laukaus|Tiros de Rajada|Взрывной выстрел|爆发式射击|バースト・ショット|버스트 샷|Berstender Schuss
effect_off_23|Gunshot|Laukaus|Tiro|Очередь|射击|射撃|건샷|Pistolenschuss
effect_off_24|Flight|Lento|Voar|Полет|飞行|飛行|비행|Flucht
effect_off_25|Immune to Freeze|Immuuni jäädytykselle|Imune a Congelamento|Иммунитет к Заморозке|免疫冻结|凍結無効|동결 면역|Immun gegen Frost
effect_off_26|Immune to Stun|Immuuni pyörrytykselle|Imune a Atordoamento|Иммунитет к Оглушению|免疫眩晕|スタン無効|기절 면역|Immun gegen Betäubung
effect_off_27|Immortality|Kuolemattomuus|Imortalidade|Бессмертие|永生|不死|불멸|Unsterblichkeit
effect_off_28|Immune to Traps|Immuuni ansoille|Imune a Armadilhas|Иммунитет к ловушкам|免疫陷阱|トラップ無効|함정 면역|Immun gegen Fallen
effect_off_29|Armor Break|Suojanmurtaja|Quebra de Armadura|Разрушение Брони|装甲打破|アーマーブレイク|아머 브레이크|Rüstungsbruch
effect_off_30|Restless Spirits|Levottomat sielut|Espíritos Inquietos|Неупокоенные Души|不眠之魂|リストレススピリッツ|불안한 영혼|Ruhelose Geister
effect_off_31|Armageddon|Maailmanloppu|Armagedom|Армагеддон|大决战|ハルマゲドン|아마겟돈|Armageddon
effect_off_32|Taunt|Provosointi|Provocar|Провокация|嘲讽|タウント|도발|Spott
effect_off_33|Master Summoner|Mestarikutsuja|Invocador Mestre|Мастер Призыва|主人的召唤者|マスターサモナー|소환 마스터|Meisterbeschwörer
effect_off_34|Spellbreak|Loitsunmurtaja|Quebra de Feitiço|Разрушение Чар|咒语破除|スペルブレイク|스펠 브레이크|Fluchbrecher
effect_off_35|Elemental Break|Elementaalimurtaja|Quebra Elementar|Стихийное Разрушение|元素打破|エレメンタルブレーク|엘리멘탈 브레이크|Elementarer Bruch
effect_off_36|Moonshine Madness|Pontikkasekoilu|Loucura do Luar|Пьяный Угар|月光疯狂|月光の狂気|달빛 광기|Mondscheinwahnsinn
effect_off_37|Spell Mirror|Loitsupeili|Espelho de Feitiço|Отражение Чар|咒语魔镜|スペルミラー|주문 거울|Fluchspiegel
effect_off_38|Mana Shield|Manakilpi|Escudo de Mana|Щит Маны|法力护盾|マナシールド|마나 쉴드|Manaschild
effect_off_39|Revelation|Paljastus|Revelação|Откровение|启示|啓示|계시|Offenbarung
effect_off_40|Kogarasumaru|Kogarasumaru|Kogarasumaru|Когарасумару|小gar丸|小烏丸|코가라스마루|Kogarasumaru
effect_off_41|Big Joe|Iso Joe|Grande Joe|Большой Джо|大乔|ビッグジョー|빅 조|großer Joe
effect_off_42|Valkyrie|Valkyria|Valquíria|Валькирия|女武神|ヴァルキリー|발키리|Walküre
effect_off_43|Teleport|Teleportti|Teleporte|Телепорт|传送|テレポート|순간 이동|Teleportieren
effect_off_44|Mjolner|Mjølner|Mjolner|Мьёльнир|莫尔纳|ミョルナー|묠니르|Mjolner
effect_off_45|Arcane Fury|Pikainen raivo|Fúria Arcana|Вспышка Ярости|奥术之怒|秘儀の怒り|아케인 퓨리|Arkane Wut
effect_off_46|Spell Bulwark|Taika Kilpi|Baluarte de Feitiço|Магический Щит|法术壁垒|スペルブルワーク|스펠 방벽|Zauber Bollwerk
effect_off_47|Overwhelming Power|Ylivoimainen voima|Poder Esmagador|Непреодолимая Мощь|压倒性的力量|圧倒的なパワー|압도적인 힘|Überwältigende Kraft
effect_off_48|Holy Shock|Pyhä isku|Choque Sagrado|Небесная Кара|神圣打击|ホーリー・ショック|성스러운 충격|Heiliger Stromschlag
effect_off_49|Rule of Order|Järjestyksen sääntö|Regra de Ordem|Правило Порядка|程序规则|秩序のルール|질서의 규칙|Geschäftsordnung
effect_off_50|Soul Spurn|Sielun poisto|Remoção de Alma|Поглощение Душ|去除灵魂|魂の除去|소울 스펀|Seelenentfernung
effect_off_51|Swordmaster|Paljastus|Revelação|Откровение|启示|啓示|계시|Offenbarung
effect_off_52|Colossus|Kolossi|Colosso|Колосс|巨人|コロッサス|거상|Koloss
effect_off_53|Vision of Gods|Jumalten näkö|Visão dos Deuses|Видение богов|众神的异象|神々のビジョン|신들의 비전|Vision der Götter
effect_off_54|Eternity|Ikuisuus|Eternidade|Вечность|永恒|永遠|영원|Ewigkeit
effect_off_55|Satan's Dice|Saatanan noppaa|Dados de satanás|Игральные кости сатаны|撒旦的骰子|サタンのサイコロ|사탄의 주사위|Satans Würfel
effect_off_56|Virulence|Virulenssi|Virulência|Эссенция Страдания|毒力|毒性|독성|Virulenz
effect_off_57|Carnage|Verilöyly|Carnificina|Бойня|大屠杀|大虐殺|대학살|Gemetzel
effect_off_58|Arcanum|Arcanum|Arcano|Арканум|奥秘|アルカナム|비밀|Arcanum
effect_off_59|Striker|Hyökkääjä|Atacante|Мордобой|前锋|ストライカー|스트라이커|Stürmer
effect_off_60|Gladiator|Gladiaattori|Gladiador|Гладиатор|角斗士|グラディエーター|검투사|Gladiator
effect_off_61|Shadow Weaving|Varjon kutominen|Tecelagem de Sombras|Сплетение Теней|影子编织|シャドーウィービング|섀도우 위빙|Schattenweben
effect_off_62|Revenant's Fury|Kostajan raivo|A Fúria do Fantasma|Гнев Ревенанта|亡灵的愤怒|レベナント・フューリー|레버넌트의 분노|Der Zorn des Rächers
effect_off_63|Gabriel’s Wrath|Gabrielin viha|A Ira de Gabriel|Gabriel’s Wrath|加布里埃尔的愤怒|ガブリエルの怒り|가브리엘의 노여움|Gabriels Zorn
effect_off_64|Weapon Throw|Aseen heitto|Arremesso de Arma|Weapon Throw|武器投掷|ウェポンスロー|무기 던지기|Wurfwaffe
effect_off_65|Mortal Reminder|Kuolevainen muistutus|Lembrete Mortal|Mortal Reminder|凡人提醒|Mortal Reminder|필멸의 알림|Tödliche Mahnung
effect_off_66|Eternal Flames|Ikuiset liekit|Chamas Eternas|Eternal Flames|永恒的火焰|エターナル・フレイムス|영원한 불꽃|Ewige Flammen
effect_off_67|Lucifer's Wrath|Luciferin viha|A Ira de Lúcifer|Lucifer's Wrath|路西法的愤怒|ルシファーの怒り|루시퍼의 노여움|Luzifers Zorn
effect_off_68|Wind Shield|Tuulisuoja|Escudo Eólico|Wind Shield|防风罩|ウィンドシールド|윈드 쉴드|Windschutzscheibe
effect_off_69|Toxic Personality|Myrkyllinen persoonallisuus|Personalidade Tóxica|Toxic Personality|有毒的人格|トキシック・パーソナリティ|독성 인격|Toxische Persönlichkeit
effect_off_70|Burst of Energy|Energianpurkaus|Explosão de Energia|Burst of Energy|迸发的能量|バーストオブエナジー|에너지 폭발|Energieausbruch
effect_off_71|Blood Boil|Veri kiehuu|Fervura de Sangue|Blood Boil|血液沸腾|ブラッドボイル|끓어오르는 혈액|Blut kochen
effect_off_72|Crimson Dance|Crimson Dance|Dança Carmesim|Crimson Dance|绯红之舞|クリムゾン・ダンス|크림슨 댄스|Karminroter Tanz
effect_off_73|Steady Defense|Tasainen puolustus|Defesa Firme|Steady Defense|稳健防御|ステディディフェンス|꾸준한 방어|Steady Defense
effect_off_74|Hold|Pidä|Manter|Hold|保持|ホールド|홀드|Halten
effect_off_75|Slaughter|Teurastus|Massacre|Slaughter|屠宰|虐殺|학살|Schlachtung
effect_off_76|Arcane Power|Arcane voima|Poder Arcano|Arcane Power|奥秘的力量|アーケイン・パワー|신비한 힘|Arkane Macht
effect_off_77|Khamsin|Khamsin|Khamsin|Khamsin|卡姆辛|ハムジン|캄신 열풍|Khamsin
effect_off_78|Kallik's Fury|Feng's Fury|Fúria de Kallik|Feng's Fury|Feng's Fury|Feng's Fury|펭의 분노|Feng's Fury
effect_off_79|Into the Dark|Pimeyteen|Para a Escuridão|Into the Dark|进入黑暗|イントゥ・ザ・ダーク|어둠속으로|In die Dunkelheit
effect_off_80|Giant's Strength|Jättiläisen voima|A força do Gigante|Giant's Strength|巨人的力量|巨人の力|거인의 힘|Die Stärke des Giganten
effect_off_81|Scimitar Frenzy|Saksiharjan vimma|Frenesi da Cimitarra|Scimitar Frenzy|弯刀狂热|シミターフレンジー|광란의 시미터|Krummsäbel-Raserei
effect_off_82|Elementium Defense|Elementium Defense|Defesa de Elementium|Elementium Defense|奔腾防务|Elementium Defense|원소 방어|Elementium-Verteidigung
effect_off_83|Unbroken Vow|Rikkomaton vala|Voto inquebrável|Unbroken Vow|不破不立的誓言|破られない誓い|깨지지 않은 맹세|Ungebrochenes Gelübde
effect_off_84|Creation by Fire|Luominen tulella|Criação por fogo|Creation by Fire|用火创造|火による創造|불에 의한 창조|Schöpfung durch Feuer
effect_off_85|The Fragrance of Dark Coffee|Tumman kahvin tuoksu|A Fragrância do Café Preto|The Fragrance of Dark Coffee|黑咖啡的香味|濃いコーヒーの香り|다크 커피의 향기|Der Duft von dunklem Kaffee
effect_off_86|Serrated Whiplash|Serrated Whiplash|Chicotada Serrilhada|Serrated Whiplash|Serrated Whiplash|Serrated Whiplash|톱니 채찍|Serrated Whiplash
effect_off_87|HouDeanii's Power|HouDeanii's Power|O poder do HouDeanii|HouDeanii's Power|HouDeanii的力量|HouDeaniiのパワー|후디니의 힘|HouDeanii's Leistung
effect_off_88|Blood Bath|Verikylpy|Banho de Sangue|Blood Bath|血浴|ブラッドバス|블러드 베스|Blutbad
effect_off_89|Neris Radiance|Neris Radiance|Esplendor de Neris|Neris Radiance|涅里斯的光芒|ネリスラディアンス|네리스 광채|Neris Strahlkraft
effect_off_90|Trained Slayer|Koulutettu Slayer|Caçador treinado|Trained Slayer|训练有素的杀手|訓練されたスレイヤー|훈련된 슬레이어|Ausgebildete Jägerin
effect_off_91|Elementium Blast|Elementium Blast|Explosão Elementium|Elementium Blast|Elementium Blast|Elementium Blast|원소 폭발|Elementium-Sprengung
effect_off_92|Master Logger|Master Logger|Mestre Madeireiro|Master Logger|主记录仪|マスターロガー|벌목 마스터|Master-Logger
effect_off_93|Bonetti's Defense|Bonettis-puolustus|Defesa de Bonettis|Bonettis Defense|博内提斯辩护|ボネッティ弁護団|보네티스 디펜스|Bonettis-Verteidigung
effect_off_94|Gut's Ruthlesness|Gut's Ruthlesness|A Crueldade de Gut|Gut's Ruthlesness|肠道疾病|ガットのルースネス|내장의 무자비함|Gut's Ruthlesness
effect_off_95|Fault Line|Rikkolinja|Linha de Falha|Fault Line|断层线|フォールトライン|결함선|Störungsleitung
effect_off_96|Glaive Sweep|Glaive Sweep|Varredura de Gládio|Glaive Sweep|扫地机器人|グレイヴ・スイープ|글레이브 스윕|Glaive Sweep
effect_off_97|Soloyolo's Mastery|Soloyolon mestaruus|O domínio de Soloyolo|Soloyolo's Mastery|索罗约洛的掌握|ソロヨロの達人|솔로욜로의 마스터리|Soloyolos Meisterschaft
effect_off_98|Draxis' Precision|Draxis Precision|Precisão de Draxis|Draxis Precision|德拉西斯精密公司|Draxis Precision|드랙시스의 정밀도|Draxis Präzision
effect_off_99|Rebirth of Death|Kuoleman uudelleensyntyminen|Renascimento da Morte|Rebirth of Death|死亡的重生|死の再生|죽음의 환생|Wiedergeburt des Todes
effect_off_100|Frozen Ammo|Jäädytetyt ammukset|Munições Congeladas|Frozen Ammo|冰冻弹药|フローズン・アンモ|얼어붙은 탄약|Gefrorene Munition
effect_off_101|Far Shot|Far Shot|Tiro de longe|Far Shot|远射|ファーショット|원거리 사격|Fernschuss
effect_off_102|Mark Target|Merkki Kohde|Marca Alvo|Mark Target|马克目标|マークターゲット|마크 타겟|Ziel markieren
effect_off_103|Penta Slash|Penta Slash|Penta Slash|Penta Slash|五角形斜线|ペンタ・スラッシュ|펜타 슬래쉬|Penta Slash
effect_off_104|Dancing Blade|Tanssiva Miekka|Lâmina Dançante|Dancing Blade|舞蹈之刃|ダンシングブレード|댄싱 블레이드|Tanzende Klinge
effect_off_105|Weapon Sweep|Ase pyyhkäisy|Varredura de Arma|Weapon Sweep|武器扫射|ウェポンスイープ|웨폰 스윕|Waffensuchlauf
effect_off_106|Flash Fire|Flash Fire|Clarão de Fogo|Flash Fire|闪光火|フラッシュファイア|플래쉬 파이어|Blitzfeuer
effect_off_107|Meteor Crater|Meteoriittikraatteri|Cratera de Meteoros|Meteor Crater|流星陨石坑|流星クレーター|운석 분화구|Meteoritenkrater
effect_off_108|Poison Tipped|Poison Tipped|Veneno na Ponta|Poison Tipped|毒尖|ポイズンティップ|독극물 주입|Giftig bestückt
effect_off_109|Unstoppable|Pysäyttämätön|Imparável|Unstoppable|不可阻挡|アンストッパブル|저지 불가|Unaufhaltsam
effect_off_110|Explosive Bolts|Räjähtävät pultit|Flechas Explosivas|Explosive Bolts|爆炸性螺栓|爆発物用ボルト|폭발 볼트|Explosive Bolzen
effect_off_111|The Black Plague|Musta rutto|A Peste Negra|The Black Plague|黑死病|黒死病|흑사병|Die Schwarze Pest
effect_off_112|Cold Break|Kylmä tauko|Quebra de Gelo|Cold Break|寒假|コールドブレイク|콜드 브레이크|Erkältungspause
effect_off_113|Fire Break|Tulipalon tauko|Quebra de Fogo|Fire Break|火灾发生时|ファイヤーブレイク|파이어 브레이크|Feuerpause
effect_off_114|Lightning Break|Salamanisku|Quebra de Raio|Lightning Break|闪电断裂|ライトニングブレーク|라이트닝 브레이크|Blitzeinschlag
effect_off_115|Wind Break|Tuuli tauko|Quebra de Vento|Wind Break|断风|ウィンドブレーク|윈드 브레이크|Windbruch
effect_off_116|Poison Break|Myrkkytauko|Quebra de Veneno|Poison Break|毒瘾发作|ポイズンブレイク|포이즌 브레이크|Vergiftungspause
effect_off_117|Unbound Power|Unbound Power|Unbound Power|Unbound Power|Unbound Power|Unbound Power|Unbound Power|Unbound Power
effect_off_118|Storm Breaker|Storm Breaker|Storm Breaker|Storm Breaker|Storm Breaker|Storm Breaker|Storm Breaker|Storm Breaker
effect_off_119|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment|Heaven's Judgment||
effect_off_120|Blood Shard|Blood Shard|Blood Shard|Blood Shard|Blood Shard|Blood Shard||
effect_off_121|Runic Power|Runic Power|Runic Power|Runic Power|Runic Power|Runic Power||
effect_off_122|Frozen Death|Frozen Death|Frozen Death|Frozen Death|Frozen Death|Frozen Death||
effect_off_123|Blood Rush|Blood Rush|Blood Rush|Blood Rush|Blood Rush|Blood Rush||
effect_off_124|Wolf Pack|Wolf Pack|Wolf Pack|Wolf Pack|Wolf Pack|Wolf Pack||
effect_off_125|Hydra Mastery|Hydra Mastery|Hydra Mastery|Hydra Mastery|Hydra Mastery|Hydra Mastery||
effect_off_126|Penance|Penance|Penance|Penance|Penance|Penance||
effect_off_127|Tarethiel’s Sight|Tarethiel’s Sight|Tarethiel’s Sight|Tarethiel’s Sight|Tarethiel’s Sight|Tarethiel’s Sight||
effect_off_128|Artificer|Artificer|Artificer|Artificer|Artificer|Artificer||
effect_off_129|Ethereal|Ethereal|Ethereal|Ethereal|Ethereal|Ethereal||
effect_off_130|Shrapnel Shells|Shrapnel Shells|Shrapnel Shells|Shrapnel Shells|Shrapnel Shells|Shrapnel Shells||
effect_off_131|Frozen Canister Rounds|Frozen Canister Rounds|Frozen Canister Rounds|Frozen Canister Rounds|Frozen Canister Rounds|Frozen Canister Rounds||
effect_off_132|Grim Bones|Grim Bones|Grim Bones|Grim Bones|Grim Bones|Grim Bones||
effect_off_133|Harmony of Death|Harmony of Death|Harmony of Death|Harmony of Death|Harmony of Death|Harmony of Death||
effect_off_134|Greed|Greed|Greed|Greed|Greed|Greed||
effect_off_135|Turn Off Set Bonus|Turn Off Set|Turn Off Set|Turn Off Set|Turn Off Set|Turn Off Set||
effect_off_136|Martyrdom|Martyr|Martyr|Martyr|Martyr|Martyr||
effect_off_137|Seething Energy|Seething Energy|Seething Energy|Seething Energy|Seething Energy|Seething Energy||
effect_off_138|Tears of Heaven|||||||
effect_off_139|Reserved|||||||
effect_off_140|Reserved|||||||
effect_off_141|Reserved|||||||
effect_off_142|Reserved|||||||
effect_off_143|Reserved|||||||
||||||||
effect_off_desc_1|Chance to unleash a burst of fire in front of you|Mahdollisuus vapauttaa tulipalo eteesi|Chance de desencadear um estouro de fogo na sua frente|Chance to unleash a burst of fire in front of you|有机会在你面前释放出一阵阵火焰|自分の目の前でバーストファイアーを放つチャンス|눈앞에 불을 뿜을 확률을 얻습니다|Chance, einen Feuerstoß vor Ihnen zu entfesseln
effect_off_desc_2|Hits have a chance to freeze enemies, slowing them down||Acertos tem uma chance de congelar inimigos, retardando-os||||적중 시 일정 확률로 적을 얼려 느려지게 합니다|
effect_off_desc_3|Hits have a chance to hex your enemy turning them into an apple||Acertos tem uma chance de enfeitiçar seu inimigo transformando-o em uma maçã||||적중 시 일정 확률로 적을 저주하여 사과로 만들 수 있습니다|
effect_off_desc_4|Your hits knock back enemies||Seus acertos empurram inimigos||||적중 시 적을 밀쳐냅니다|
effect_off_desc_5|Your hits become poisonous||Seus acertos se tornam venenosos||||공격은 독성 공격이 됩니다|
effect_off_desc_6|Hits have a chance to inflict bonus damage||Acertos tem uma chance de infligir dano bônus||||적중 시 일정 확률로 추가 피해를 입힐 수 있습니다|
effect_off_desc_7|Chance to release a Chain Lightning||Chance de lançar uma bola de raios||||라이트닝 볼을 방출할 기회를 얻습니다|
effect_off_desc_8|Chance to summon a small tornado in front of you||Chance de convocar um pequeno tornado na sua frente||||작은 토네이도를 소환할 기회를 얻습니다|
effect_off_desc_9|Chance to cast poison nova around you||Chance de lançar uma nova de veneno ao seu redor||||주위에 포이즌 노바를 시전할 확률을 얻습니다|
effect_off_desc_10|Attacks have a chance to cause a bloody shockwave in attack direction||Ataques tem uma chance de causar uma onda de choque sangrenta na direção do ataque||||공격 시 일정 확률로 공격 방향에 유혈 충격파가 발생합니다|
effect_off_desc_11|Chance to cast Ice Shockwave||Chance de lançar uma onda de choque congelante||||얼음 충격파를 시전할 기회를 얻습니다|
effect_off_desc_12|Chance to spawn 3 cannonballs||Chance de gerar 3 bolas de canhão||||3개의 포탄을 생성할 기회를 얻습니다|
effect_off_desc_13|Chance to throw a ninja shiv||Chance de lançar uma lâmina ninja||||닌자 칼을 던질 기회를 얻습니다|
effect_off_desc_14|Allows you to throw your weapon||Permite que você arremese a sua arma||||무기를 던질 수 있습니다|
effect_off_desc_15|Slams the ground in front of you||Bate com força o chão na sua frente||||눈앞의 땅을 내리칩니다|
effect_off_desc_16|Gives your attacks a chance to cast Death Coil, creating skulls that deal damage in all directions||Da aos seus ataques a chance de lançar a Bobina da Morte, criando caveiras que dão dano em todas as direções||||공격 시 일정 확률로 데스 코일을 시전하여 모든 방향으로 피해를 입히는 해골을 생성합니다|
effect_off_desc_17|Causes you to attack twice per attack||Faz com que você ataque duas vezes por ataque||||공격당 2회 공격하게 합니다|
effect_off_desc_18|Your attacks can pass unobstructed through objects and terrain||Seus ataques podem passar desobstruídos por objetos e terrno||||공격은 장애물 없이 물체와 지형을 통과할 수 있습니다|
effect_off_desc_19|Causes attacks to pierce and burn enemies||Faz com que ataques penetrem e queimem inimigos||||공격이 적을 관통하고 불태웁니다|
effect_off_desc_20|Splits your ranged attacks into multiple attacks||Divide seus ataques a distância em múltiplos ataques||||원거리 공격을 여러 공격으로 나눕니다|
effect_off_desc_21|Causes your attacks to pierce enemies||Faz com que seus ataques penetrem||||공격이 적을 관통하도록 합니다|
effect_off_desc_22|Gives you two additional projectiles. Only the first one can proc, the second one just deals weapon damage||Dá-te dois projéteis adicionais. Apenas o primeiro pode ativar efeitos de contato, o segundo apenas causa dano de arma||||두 개의 추가 발사체를 제공합니다. 첫 번째 것만 발동할 수 있고, 두 번째 것은 무기 피해만 줍니다|
effect_off_desc_23|Low chance to shoot a projectile on attack that can proc||Pequena chance de atirar um projétil no ataque que pode ativar efeitos de contato||||발동할 수 있는 공격 시 발사체를 쏠 확률이 낮습니다|
effect_off_desc_24|Allows you to fly over holes and spikes||Permite que você voe sobre buracos e armadilhas de espeto||||구멍과 스파이크 위로 날아갈 수 있습니다|Ermöglicht das Überfliegen von Löchern und Stacheln
effect_off_desc_25|Makes you immune to freezing effects||Torna-o imune a efeitos de congelamento||||동결 효과에 면역이 됩니다.|
effect_off_desc_26|Makes you immune to stuns||Torna-o imune a atordoamentos||||기절에 면역이 됩니다|
effect_off_desc_27|Regenerates 10% of your HP over 10 seconds when you take lethal damage||Regenera 10% da sua vida ao longo de 10 segundos quando você toma dano letal||||치명적인 피해를 입으면 10초에 걸쳐 HP의 10%를 회복합니다|
effect_off_desc_28|Prevents all damage taken from traps||Previne todo o dano tomado de armadilhas||||함정으로 인한 모든 피해를 방지합니다|
effect_off_desc_29|Chance on hit to apply Armor Break debuff to the target||Chance no acerto de aplicar a penalidade quebra de armadura no alvo||||적중 시 일정 확률로 대상에게 아머 브레이크 디버프를 적용합니다|
effect_off_desc_30|A small chance on basic attack to unleash Restless Spirits||Uma pequena chance no ataque de desencadear espíritos inquietos||||불안한 영혼을 해방하는 기본 공격에 대한 작은 기회를 얻습니다|
effect_off_desc_31|Chance on casting an Active Talent to call down a meteor on the closest target||Chance de invocar um meteoro no alvo mais proximo após utilizar um talento ativo||||액티브 스킬을 시전하여 가장 가까운 대상에 유성을 떨어뜨릴 확률을 얻습니다|
effect_off_desc_32|Chance on basic attack to Taunt nearby enemies||Chance no ataque básico de provocar inimigos próximos||||기본 공격 시 일정 확률로 주변의 적을 도발합니다|
effect_off_desc_33|Summons an additional Legion minion|Kutsuu ylimääräisen legioonan kätyrin|Convoca um lacaio da legião adicional|Summons an additional Legion minion|召唤一个额外的军团爪牙|追加のLegionミニオンを召喚する。|군단 하수인을 추가로 소환합니다.|Beschwört einen zusätzlichen Legion-Diener
