[Effect Descriptions]|en|fi|pt|ru|zh|ja|ko|de
effect_off_desc_34|Chance on hit to apply Spellbreak to the target|Mahdollisuus osumalla soveltaa kohteeseen Spellbreakia.|Chance no acerto de aplicar quebra de feitiço no alvo|Chance on hit to apply Spellbreak to the target|命中后有几率对目标施展破咒术|ヒット時に確率で対象にSpellbreakを適用する|적중 시 일정 확률로 대상에게 스펠 브레이크를 적용합니다.|Chance, bei einem Treffer einen Zauberbruch auf das Ziel anzuwenden
effect_off_desc_35|Chance on hit to apply Elemental Break to the target|Mahdollisuus osuessa kohdistaa elementtimurto kohteeseen.|Chance no acerto de aplicar quebra elemental no alvo|Chance on hit to apply Elemental Break to the target|命中后有几率对目标施加元素断裂|ヒット時に確率で対象にエレメンタル・ブレイクをかける|적중 시 일정 확률로 대상에게 엘리멘탈 브레이크를 적용합니다.|Chance, bei einem Treffer Elementarbruch auf das Ziel anzuwenden
effect_off_desc_36|Chance on a basic attack to gain a Moonshine Madness buff (increase movement speed and attack speed)|Mahdollisuus saada perushyökkäyksellä Moonshine Madness -buffi (lisää liikkumisnopeutta ja hyökkäysnopeutta).|Chance no ataque basico de ganhar um buff de Loucura Lunar (aumento na velocidade de ataque e movimento)|Chance on a basic attack to gain a Moonshine Madness buff (increase movement speed and attack speed)|"基本攻击时有机会获得 ""疯狂月光 ""BUFF（增加移动速度和攻击速度"|基本攻撃時に確率で「ムーンシャイン・マッドネス」のバフを獲得（移動速度と攻撃速度の上昇|기본 공격 시 일정 확률로 달빛 광기 버프(이동 속도 및 공격 속도 증가)를 얻습니다.|"Chance, bei einem Grundangriff einen Stärkungszauber ""Mondschein-Wahnsinn"" zu erhalten (erhöht die Bewegungsgeschwindigkeit und das Angriffstempo)"
effect_off_desc_37|Chance on casting an Active talent to cast it 2 times in a quick succession.|Mahdollisuus heittää aktiivinen lahjakkuus 2 kertaa nopeasti peräkkäin.|Chance ao lançar um talento ativo de lançá-lo duas vezes em rápida sucessão|Chance on casting an Active talent to cast it 2 times in a quick succession.|施放主动天赋时有机会快速连续施放2次。|アクティブタレントをキャストする際に、連続して2回キャストする確率。|액티브 스킬을 시전할 기회가 있으면 빠르게 연속해서 2번 시전합니다.|Chance beim Wirken eines aktiven Talents, es 2 Mal in schneller Folge zu wirken.
effect_off_desc_38|A portion of damage is taken from Mana before Life|Osa vahingosta otetaan Manasta ennen elämää.|Uma parte dos danos é retirado da Mana antes da Vida|A portion of damage is taken from Mana before Life|一部分伤害是在生命之前从法力中获取的|ダメージの一部がライフの前にマナから取られる|체력보다 먼저 마나에서 피해의 일부를 얻습니다.|Ein Teil des Schadens wird dem Mana entnommen, bevor das Leben
effect_off_desc_39|Summons a large zone dealing AOE damage and increases you and your allies damage reduction by 25%|Kutsuu suuren alueen, joka aiheuttaa aoe-vahinkoa ja lisää sinun ja liittolaistesi vahingonvähennystä 25 %:lla.|Convoca uma grande zona que causa dano em área e aumenta a redução de dano para você e seus aliados em 25%|Summons a large zone dealing aoe damage and increases you and your allies damage reduction by 25%|召唤一个大区域，造成AOE伤害，并使你和你的盟友的伤害减免增加25%。|巨大なゾーンを召喚し、青江のダメージを与え、自分と味方のダメージ軽減率を25%増加させる。|광역 피해를 주는 넓은 지역을 소환하여 자신과 아군의 피해 감소량을 25% 증가시킵니다.|Beschwört eine große Zone, die Aoe-Schaden verursacht und Ihre Schadensreduktion und die Ihrer Verbündeten um 25% erhöht
effect_off_desc_40|30% Dodge, Speed, Attack Speed, Physical Damage|30% väistäminen, nopeus, hyökkäysnopeus, fyysinen vahinko|30% de evasão, velocidade, velocidade de ataque, dano físico|30% dodge, speed, attack speed, phys damage|30%的闪避、速度、攻击速度、物理伤害|30% ドッジ、スピード、アタックスピード、フィジークダメージ|30%의 회피,이동 속도, 공격 속도, 물리 피해 버프를 얻습니다.|30% Ausweichen, Geschwindigkeit, Angriffsgeschwindigkeit, Phys-Schaden
effect_off_desc_41|Every level gives you 3% to throw your chainsaw like a marauder chain|Jokainen taso antaa sinulle 3% heittää moottorisahasi kuin marauder-ketjuun.|Cada nível lhe da 3% de chance de lançar a sua motosserra como uma corrente do saqueador|Every level gives you 3% to throw your chainsaw like a marauder chain|每一关都有3%的时间让你像掠夺者一样抛出你的电锯链。|全てのレベルで3%の確率で、チェーンソーを槍のように投げることができます。|모든 레벨은 약탈자 사슬처럼 전기톱을 던질 수 있는 3%의 기회를 얻습니다.|Jeder Level gibt Ihnen 3%, um Ihre Kettensäge wie eine Marodeurkette zu werfen
effect_off_desc_42|Summons a clone that copies your spells for a duration|Kutsuu kloonin, joka kopioi loitsusi keston ajaksi.|Convoca um clone que copia seus feitiços por um período de tempo|Summons a clone that copies your spells for a duration|召唤一个克隆体，在一定时间内复制你的法术。|自分の呪文をコピーするクローンを一定時間召喚する。|지속 시간 동안 스킬을 카피하는 클론을 소환합니다.|Beschwört einen Klon, der Ihre Zaubersprüche für eine bestimmte Dauer kopiert
effect_off_desc_43|Teleport in the direction you are facing|Teleportaatio siihen suuntaan, johon olet katsomassa|Teleporta na direção que você está voltado para|Teleport in the direction you are facing|向你所面对的方向传送|自分が向いている方向にテレポートする|당신이 향하고 있는 방향으로 텔레포트합니다.|Teleportieren in die Richtung, in die Sie schauen
effect_off_desc_44|40% Chance to cast a Chain Lightning while attacking|40% mahdollisuus heittää ketjusalama hyökätessäsi.|40% de chance de lançar uma corrente de raio enquanto ataca|40% Chance to cast a Chain Lightning while attacking|40%的几率在攻击时施放一个连锁闪电|40%の確率で、攻撃時に「Chain Lightning」を唱える。|40% 확률로 공격 중 체인 라이트닝을 시전합니다.|40% Chance, während eines Angriffs einen Kettenblitz zu wirken
effect_off_desc_45|Your attacks have 10% chance to create an Arcane Fury|Hyökkäyksilläsi on 10 %:n mahdollisuus heittää Arcane Furya|Seus ataques têm 10% de chance de lançar fúria arcana|Your attacks have 10% chance to cast Arcane Fury|你的攻击有10%的机会施放奥术之怒|10%の確率でArcane Furyが発動するようになる。|공격 시 10%의 확률로 아케인 퓨리를 시전합니다.|Ihre Angriffe haben eine Chance von 10%, Arkane Wut zu wirken
effect_off_desc_46|When you block, you regeneration 2% of maximum mana a second for 4 seconds|Kun blokkaat, regeneroit 2% maksimimanasta sekunnissa 4 sekunnin ajan.|Quando você bloqueia, você regenera 2% da mana máxima por segundo durante 4 segundos|When you block, you regeneration 2% of maximum mana a second for 4 seconds|当你阻挡时，你每秒再生2%的最大法力，持续4秒|ブロックしたとき、4秒間、毎秒最大マナの2%を再生する。|방어하면 4초 동안 초당 최대 마나의 2%를 재생합니다.|Wenn Sie blocken, regenerieren Sie 4 Sekunden lang 2% des maximalen Manas pro Sekunde
effect_off_desc_47|Gives 300-400% max mana as magic damage to next attack. Drains 10% mana a second|Antaa 300-400 % maksimimanasta taikavahinkona seuraavaan hyökkäykseen. Kuluttaa 10% manaa sekunnissa|Proporciona 300-400% de mana máxima como dano mágico para o próximo ataque. Drena 10% de mana por segundo|Gives 300-400% max mana as magic damage to next attack. Drains 10% mana a second|给予300-400%的最大法力作为下一次攻击的魔法伤害。每秒消耗10%的法力值|次の攻撃に300～400%の最大マナを魔法ダメージとして与える。1秒間に10%のマナを消費する|다음 공격 시 최대 마나의 300~400%에 해당하는 마법 피해를 입힙니다. 초당 10%의 마나를 소모합니다.|Verleiht 300-400% max. Mana als magischen Schaden für den nächsten Angriff. Entzieht 10 % Mana pro Sekunde
effect_off_desc_48|Periodically shocks and damages enemies around the player|Iskee ja vahingoittaa ajoittain pelaajan ympärillä olevia vihollisia.|Periodicamente eletrifica e causa dano a inimigos ao redor do jogador|Periodically shocks and damages enemies around the player|定期冲击和破坏玩家周围的敌人。|プレイヤーの周囲の敵に定期的にショックを与え、ダメージを与える|주기적으로 플레이어 주변의 적에게 충격과 피해를 줍니다.|Schockt und beschädigt periodisch Gegner in der Umgebung des Spielers
effect_off_desc_49|Every 10-15k mana gives you 1% of your max mana as additional elemental damage|Jokainen 10-15k manaa antaa sinulle 1% maksimimanastasi ylimääräisenä taikavahinkona.|Cada 10-15k mana lhe dá 1% de sua mana máxima como dano mágico adicional|Every 10-15k mana gives you 1% of your max mana as additional magic damage|每10-15K的法力值可使你的最大法力值的1%作为额外的魔法伤害。|10～15kマナごとに、最大マナの1%倍の追加魔法ダメージを与える。|10-15k 마나마다 최대 마나의 1%를 추가 마법 피해로 제공합니다.|Alle 10-15k Mana erhalten Sie 1% Ihres maximalen Manas als zusätzlichen magischen Schaden
effect_off_desc_50|Deals AOE damage and 5% of the damage is turned into an absorb shield|Tekee aoe-vahinkoa ja 5% vahingosta muuttuu absorboivaksi suojaksi.|Causa dano em area e 5% do dano é convertido para um escudo|Deals aoe damage and 5% of the damage is turned into an absorb shield|造成AOE伤害并将5%的伤害转化为吸收护盾|Aoeダメージを与え、ダメージの5%を吸収シールドに変える|광역 데미지를 입히고 데미지의 5%를 쉴드로 바꿉니다.|Verursacht Aoe-Schaden und 5% des Schadens werden in einen Absorptionsschild verwandelt
effect_off_desc_51|When killing an enemy gain +5 Attack Speed and +5 Movement Speed. Stacks 5 times|Kun tapat vihollisen, saat +5 hyökkäysnopeutta ja +5 liikkumisnopeutta. Pinoutuu 5 kertaa|Ao matar um inimigo ganha +5 Velocidade de Ataque e +5 de Velocidade de Movimento. Acumula 5 vezes|When killing an enemy gain +5 Attack Speed and +5 Movement Speed. Stacks 5 times|当杀死一个敌人时，获得+5攻击速度和+5移动速度。可叠加5次|敵を倒したとき、攻撃速度と移動速度がそれぞれ5倍になる。5回スタック|적을 죽일 때 공격 속도 +5 및 이동 속도 +5를 얻습니다. 최대 5회 중첩|Wenn Sie einen Gegner töten, erhalten Sie +5 Angriffsgeschwindigkeit und +5 Bewegungsgeschwindigkeit. Stapelt 5 Mal
effect_off_desc_52|20% chance on hit you gain 2.5% strength for 5 seconds depending on ability level.|Kaksinkertaistaa ammusten ja aurojen koon. Ei pinoudu Oversized Relicin kanssa.|20% de chance no acerto de ganhar 2.5% de força por 5 segundos dependendo do nível da habilidade.|Doubles the size of projectiles and auras. Doesn't stack with the Oversized Relic|使投射物和光环的大小翻倍。不与超大遗迹叠加。|投影物とオーラのサイズを2倍にする。Oversized Relic」との併用はできません。|투사체와 오라의 크기를 두 배로 늘립니다. 특대 유물과 중첩되지 않습니다.|Verdoppelt die Größe von Projektilen und Auren. Lässt sich nicht mit dem Übergroßen Relikt stapeln.
effect_off_desc_53|Increases the size of your vision on the screen|Suurentaa näkymän kokoa näytöllä.|Aumenta o tamanho de sua visão na tela|Increases the size of your vision on the screen|增加你在屏幕上的视觉尺寸|画面に映る自分の姿が大きくなる|화면에서 시야의 범위를 늘립니다.|Erhöht die Größe des Bildes auf dem Bildschirm
effect_off_desc_54|Increases damage over time ability up time by 50%|Pidentää vauriota ajanmyötä pituutta 50%|Aumenta o tempo de ativação da habilidade de dano ao longo do tempo em 50%|Увеличивает время действия способностей с постепенным уроном на 50%.|将持续伤害能力的正常运行时间提高 50%|時間の経過に伴うダメージ能力のアップタイムが50％増加します|지속 피해 능력 증가 시간 50% 증가|Erhöht die Betriebszeit der Schaden-über-Zeit-Fähigkeit um 50 %
effect_off_desc_55|On kill, you gain 30% damage, 50% attack speed or 30% movement speed|Kun tapat, saat 30% vahinkoa, 50% hyökkäysnopeutta tai 30% liikenopeutta.|Ao matar, você ganha 30% de dano, 50% velocidade de ataque ou 30% velocidade de movimento|On kill, you gain 30% damage, 50% attack speed or 30% movement speed|杀死后，你获得30%的伤害、攻击速度或移动速度|キル時、ダメージ、攻撃速度、移動速度のいずれかが30%上昇する。|처치 시 30%의 피해량, 공격 속도 또는 이동 속도를 얻습니다.|Bei einem Kill erhalten Sie 30% Schaden, 50% Angriffstempo oder 30% Bewegungstempo
effect_off_desc_56|Chance on attack to throw a poison cloud that poisons and plagues all targets inside|Mahdollisuus heittää hyökkäyksen yhteydessä myrkkypilvi, joka myrkyttää ja vaivaa kaikkia sen sisällä olevia kohteita.|Chance no ataque de lançar uma nuvem de veneno que envenena e empesta todos os alvos dentro|Chance on attack to throw a poison cloud that poisons and plagues all targets inside|攻击时有机会扔出一个毒云，使里面的所有目标受到毒害和困扰|攻撃時に確率で、内部にいる全ての対象者を毒し、苦しめる毒雲を投げる。|공격 시 일정 확률로 내부의 모든 대상을 중독시키고 괴롭히는 독구름을 던집니다.|Chance, beim Angriff eine Giftwolke zu werfen, die alle Ziele darin vergiftet und plagt
effect_off_desc_57|55% chance on attack to shoot a fast homing missile at the closest target|55% mahdollisuus ampua hyökkäyksen yhteydessä nopea ohjus lähimpään kohteeseen.|55% de chance no ataque de atirar um míssel rápido teleguiado no alvo mais proximo|55% chance on attack to shoot a fast homing missile at the closest target|攻击时有55%的几率向最近的目标发射一枚快速归航导弹|攻撃時に55%の確率で最も近いターゲットに高速ホーミングミサイルを発射する|공격 시 55% 확률로 가장 가까운 목표물에 고속 유도 미사일을 발사합니다.|55 % Chance, beim Angriff eine schnelle Zielsuchrakete auf das nächstgelegene Ziel zu schießen
effect_off_desc_58|Your attacks launch 3 projectiles that have a 30% chance to cast an empowered Arcane Fury|Hyökkäyksesi laukaisevat 3 ammusta, joilla on 30 %:n mahdollisuus heittää voimaantunut Arcane Fury.|Seus ataques lançam 3 projéteis que tem uma chance de 30% de lançar uma fúria arcana melhorada|Your attacks launch 3 projectiles that have a 30% chance to cast an empowered Arcane Fury|你的攻击会发射3个投射物，这些投射物有30%的几率施放一个被赋予能力的奥术之怒。|攻撃時に30%の確率でArcane Furyが発動する3つの弾を発射する。|공격 시 30% 확률로 강화된 아케인 퓨리를 시전하는 3개의 발사체를 발사합니다.|Ihre Angriffe feuern 3 Projektile ab, die eine 30%ige Chance haben, einen verstärkten Arkanen Zorn zu wirken
effect_off_desc_59|Increases your Attack Power by 20% + (20% * ability level) when you are unarmed|Lisää automaattisen hyökkäyksesi vahinkoa 400% + (15% * vaikutustaso), kun olet aseeton.|Aumenta o seu poder de ataque em 20% + (10% * nível da habilidade) quando você está desarmado|Increases your autoattack damage by 400% + (15% * effect level) when you are unarmed|当你没有武器时，使你的自动攻击伤害增加400%+（15%*效果等级）。|非武装時の自動攻撃のダメージを400% + (15% * 効果レベル)増加させる。|비무장 상태일 때 기본 공격 피해가 400% + (15% * 어빌리티 레벨)만큼 증가합니다.|Erhöht den Schaden Ihres automatischen Angriffs um 400% + (15% * Effektstufe), wenn Sie unbewaffnet sind
effect_off_desc_60|Increases your Attack Power based on your Damage Return|Lisää hyökkäysvoimaasi vahinkopalautuksen perusteella.|Aumenta seu poder de ataque com base em seu retorno de dano|Increases your attack power based on your damage return|根据你的伤害回报增加你的攻击力|ダメージリターンに応じて攻撃力がアップします。|대미지 반환에 따라 공격력이 증가합니다.|Erhöht Ihre Angriffskraft basierend auf Ihrer Schadensrückgabe
effect_off_desc_61|Increases your Ability Power by 20% + (20% * ability level) when you are unarmed|Lisää kykyvahinkoasi 400% + (15% * vaikutustaso), kun olet aseeton.|Aumenta o seu poder de habilidade em 20% + (10% * nível da habilidade) quando você está desarmado|Increases your Ability Damage by 400% + (15% * effect level) when you are unarmed|当你没有武器时，使你的能力伤害增加400%+（15%*效果等级）。|非武装時のアビリティダメージを400% + (15% * 効果レベル)増加させる。|비무장 상태일 때 능력 피해 400% + (15% * 어빌리티 레벨) 증가|Erhöht Ihren Fähigkeitsschaden um 400% + (15% * Effektstufe), wenn Sie unbewaffnet sind
effect_off_desc_62|Chance on hit to cause a chain lightning that increases damage based on ability level|Mahdollisuus aiheuttaa osumalla ketjusalaman, joka lisää vahinkoa kyvykkyystason mukaan.|Chance no acerto de causar uma corrente de raio que aumenta de dano dependendo do nivel da habilidade|Chance on hit to cause a chain lightning that increases damage based on ability level|命中后有机会造成连锁闪电，根据能力等级增加伤害|ヒット時に確率で、アビリティレベルに応じてダメージが増加する連鎖雷撃を与える。|적중 시 어빌리티 레벨에 따라 피해를 증가시키는 체인 라이트닝을 일으킬 수 있습니다.|Chance, bei einem Treffer einen Kettenblitz zu verursachen, der den Schaden basierend auf der Fähigkeitsstufe erhöht
effect_off_desc_63|Chance on hit to cause you to do a sweeping Angelic slice around you|Mahdollisuus osuessa aiheuttaa sinulle pyyhkäisevän enkelimäisen viipaleen ympärilläsi.|Chance no acerto de fazer com que você cause uma fatia angelical arrebatadora em volta de você|Chance on hit to cause you to do a sweeping Angelic slice around you|命中后有机会使你在周围做一个横扫千军的Angelic slice。|ヒット時の確率で、自分の周囲を一掃するエンジェリック・スライスを行う。|적중 시 주위에 엔젤릭 슬라이스를 발생시킬 수 있습니다.|Chance, bei einem Treffer einen schwungvollen Angelic Slice um Sie herum zu machen
effect_off_desc_64|Chance on attack or ability cast to throw a piercing copy of your weapon at the enemy|Mahdollisuus hyökkäyksen tai kyvyn heiton yhteydessä heittää lävistävä kopio aseestasi vihollista kohti.|Chance no ataque ou habilidade de atirar uma cópia perfurante de sua arma no inimigo|Chance on attack or ability cast to throw a a piercing copy of your weapon at the enemy|攻击或施放能力时，有机会向敌人投掷一个你的武器的穿透性副本|攻撃時またはアビリティー・キャスト時に、自分の武器の貫通コピーを敵に投げつけるチャンス|공격 또는 능력 시전 시 적에게 날카로운 복제 무기를 던질 수 있습니다.|Chance, beim Angriff oder Fähigkeitswurf eine durchdringende Kopie Ihrer Waffe auf den Gegner zu werfen
effect_off_desc_65|Reduces your main damage by 50% but greatly increases your damage over time effects by 175%|Vähentää päävahinkoa 50 %, mutta lisää huomattavasti vahinkoa ajan myötä 175 %.|Reduz seus principais danos em 50%, mas aumenta muito seus danos ao longo do tempo em 175%|Reduces your main damage by 50% but greatly increases your damage over time effects by 175%|使你的主要伤害减少50%，但大大增加你的伤害时间效果175%。|自分のメインダメージを50%減少させるが、時間経過によるダメージ効果を175%と大幅に増加させる。|주 피해가 50% 감소하지만 지속 피해 효과가 175% 크게 증가합니다.|Verringert Ihren Hauptschaden um 50%, erhöht aber Ihre Schaden-über-Zeit-Effekte um 175%.
effect_off_desc_66|Increases burning damage by 300%|Hyökkäyksesi aiheuttavat kohteeseen yksittäisen pinon polttamista, joka aiheuttaa huomattavaa vahinkoa.|Seus ataques aplicam um acúmulo único de queimadura no alvo dando dano substancial|Your attacks apply a singular stack of burning on the target dealing substantial damage|你的攻击对目标施加一个单一的燃烧堆，造成巨大的伤害。|あなたの攻撃は、対象に大きなダメージを与える単一の燃焼スタックを適用します。|당신의 공격은 목표물에 화상을 입히고 상당한 피해를 입힌다.|Ihre Angriffe wenden einen einzelnen Stapel von Verbrennungen auf das Ziel an und verursachen erheblichen Schaden
effect_off_desc_67|Whenever you cast a spell you release a big blast wave damaging enemies around you based on your damage|Aina kun käytät loitsua, vapautat suuren räjähdysaallon, joka vahingoittaa vihollisia ympärilläsi.|Sempre que você lança um feitiço você libera uma grande onda de explosões que danifica os inimigos ao seu redor|Whenever you cast a spell you release a big blast wave damaging enemies around you|每当你施法时，你会释放一个大的爆炸波，伤害你周围的敌人。|呪文を唱えるたびに、周囲の敵にダメージを与える大きな爆発波を放つ。|주문을 시전할 때마다 주위의 적들에게 피해를 주는 큰 폭발파를 방출합니다.|Jedes Mal, wenn Sie einen Zauber wirken, setzen Sie eine große Druckwelle frei, die Feinde um Sie herum beschädigt
effect_off_desc_68|Whenever you cast a spell, you summon a wind shield that increases your movement and damage reduction by 10%|Aina kun käytät loitsua, kutsut esiin tuulisuojan, joka lisää liikettäsi ja vahingon vähennystäsi 10 %.|Sempre que você lança um feitiço, você invoca um escudo de vento que aumenta seu movimento e redução de dano em 10%.|Whenever you cast a spell, you summon a wind shield that increases your movement and damage reduction by 10%|每当你施展法术时，你会召唤一个风盾，使你的移动和伤害减免增加10%。|呪文を唱えるたびに風の盾を召喚し、自分の移動力とダメージ軽減率を10%増加させる|주문을 시전할 때마다 이동력과 피해 감소량이 10% 증가하는 윈드 쉴드를 소환합니다.|Immer, wenn Sie einen Zauber wirken, beschwören Sie einen Windschild, der Ihre Bewegung und Schadensreduktion um 10% erhöht
effect_off_desc_69|Emits a trail of noxious poison behind you that causes damage to enemies|päästää jälkeensä myrkyllistä myrkkyä, joka aiheuttaa vahinkoa vihollisille.|Emite um rastro de veneno nocivo atrás de você que causa danos aos inimigos|Emits a trail of noxious poison behind you that causes damage to enemies|在你身后发出一串有毒的毒药，对敌人造成伤害|敵にダメージを与える有害な毒の痕跡を自分の後ろに出す|적에게 피해를 입히는 유해한 독극물의 흔적을 뒤로 내뿜습니다.|Sendet eine Spur von schädlichem Gift hinter Ihnen aus, die bei Feinden Schaden verursacht
effect_off_desc_70|Upon going to 40% or less mana you gain 40% of maximum mana|Kun mana on 40 % tai vähemmän, saat 40 % maksimimanasta.|Ao ir para 40% ou menos de mana você ganha 40% da mana máxima|Upon going to 40% or less mana you gain 40% of maximum mana|当你的法力值降到40%或更低时，你会获得最大法力值的40%。|マナが40%以下になると、最大マナの40%を得る。|마나가 40% 이하가 되면 최대 마나의 40%를 얻습니다.|Wenn Sie auf 40 % oder weniger Mana gehen, erhalten Sie 40 % des maximalen Manas
effect_off_desc_71|Multiplies bleed damage based on your ability level|Kertoo verenvuotovahingon perustuen kykytasoosi.|Multiplica os danos por sangramento com base em seu nível de habilidade|Multiplies bleed damage based on your ability level|根据你的能力水平，增加流血的伤害|自分の能力レベルに応じてブリードダメージを倍増させる|당신의 어빌리티 레벨에 따라 출혈 피해를 곱합니다.|Multipliziert den Blutungsschaden basierend auf Ihrer Fähigkeitsstufe
effect_off_desc_72|Your attacks and abilities have a 25% to cause bleeding|Hyökkäyksilläsi ja kyvyilläsi on 25 % mahdollisuus aiheuttaa verenvuotoa.|Seus ataques e habilidades têm 25% para causar sangramento|Your attacks and abilities have a 25% to cause bleeding|你的攻击和能力有25%会造成出血|あなたの攻撃やアビリティは25％の確率で出血を引き起こします。|당신의 공격과 능력은 25%의 출혈을 일으킬 수 있습니다.|Ihre Angriffe und Fähigkeiten haben eine 25%ige Wahrscheinlichkeit, Blutungen zu verursachen
