[zone]|en|fi|pt|ru|zh|ja|ko|de
Old_Copper_Mine_1_rm|Old Copper Mine|Vanha kuparikaivos|Old Copper Mine|Old Copper Mine|Old Copper Mine|Old Copper Mine|Old Copper Mine|Old Copper Mine
Angelic_Realm_rm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm
Ruby_Gardens_rm|Ruby Gardens|Rubiinipuutarha|Jardins de Rubi|Рубиновые Сады|红宝石花园|ルビーガーデンズ|루비 정원|Rubinengärten
Shadow_Realm_rm|Shadow Realm|Pimeyden valtakunta|Reino das Sombras|Царство Теней|影子王国|シャドーレルム|그림자 왕국|Schattenreich
Shadow_Boss_rm|Reaper's Breach|Kuoleman tyyssija|Fenda do Ceifador|Разлом Смерти|死神的违反|リーパーズ･ブリーチ|사신의 위반|Übertritt des Sensenmanns
||||||||
crypt|Ancient Crypt|Muinainen krypta|Cripta antiga|Древний Склеп|古老的地下墓室|古代の地下室|고대의 납골당|Alte Krypta
wormhole|Wormhole|Madonreikä|Buraco de minhoca|Червоточина|虫洞|ワームホール|웜홀|Wurmloch
dungeon|Dungeon|Tyrmä|Masmorra|Подземелье|地牢|ダンジョン|던전|Verlies
unstable_rift|Unstable Rift|Epävakaa Repeämä|Falha Instável|Нестабильный Разлом|活跃裂缝|不安定な裂け目|불안정한 움직임|Instabiler Riss
||||||||
Chaos_Tower_01|Cathedral's library|Katedraalin kirjasto|Biblioteca da catedral|Библиотека собора|大教堂的图书馆|大聖堂の図書館|대성당의 도서관|Kathedralenbibliothek
Chaos_Tower_02|Garden|Puutarha|Jardim|Сад|花园|庭園|정원|Garten
Chaos_Tower_03|Pillars|Pylväät|Pilares|Колонны|支柱|柱|기둥|Säulen
Chaos_Tower_04|Dark Pits|Synkät kuopat|Poços Negros|Бездонные Ямы|黑坑|ダークピット|어두운 구덩이|Dunkle Gruben
Chaos_Tower_05|Submerged|Upoksissa|Submerso|Затопленный|湮|水没|잠수함|Untergetaucht
Chaos_Tower_06|Jungle|Viidakko|Selva|Джунгли|丛林|密林|밀림|Dschungel
Chaos_Tower_07|Cemetery|Hautausmaa|Cemitério|Кладбище|公墓|墓地|묘지|Friedhof
Chaos_Tower_08|Bloodpool|Veriallas|Piscina de sangue|Море Крови|血泊|血のプール|피 웅덩이|Blutpfütze
Chaos_Tower_09|Floating ice|Kelluvat jäät|Gelo flutuante|Ледник|浮冰|浮氷|떠 다니는 얼음|Schwimmendes Eis
Chaos_Tower_10|Dark forest|Synkkä metsä|Floresta Negra|Темный Лес|黑暗森林|暗い森|어두운 숲|Dunkler Wald
Chaos_Tower_11|OMGEVERYTHINGISGREEN|VOIEIKAIKKIONVIHREÄÄ|TUDO É VERDE|ВСЕ ЗЕЛЕНОЕ|一切都是绿色的|すべてが緑です|모든 것이 녹색입니다|ALLES IST GRÜN
Chaos_Tower_12|Traprealm|Ansamaailma|Reino da armadilha|Мир Ловушек|陷阱领域|トラップレルム|트랩 영역|Fallenreich
Chaos_Tower_13|Ice spikes|Jääpiikit|Picos de gelo|Ледяные шипы|冰峰|氷のスパイク|얼음 스파이크|Eisspitzen
Chaos_Tower_14|Steam Train? Again?|Höyryjuna? Taasko?|Comboio a vapor? Novamente?|Паровоз? Еще раз?|蒸汽火车？再次？|蒸気機関車？再び？|증기 기관차? 다시?|Dampflokomotive? Nochmal?
Chaos_Tower_15|It's... Empty?|Se on... Tyhjä?|Está vazio?|Оно пустое?|它是空的？|空っぽです？|그건... 비어있어?|Es ist leer?
Chaos_Tower_16|OMGEVERYTHINGISRED|VOIEIKAIKKIONPUNAISTA|TUDO É VERMELHO|ВСЕ КРАСНОЕ|一切都是红色的|すべてが赤です|모든 것이 빨간색입니다|ALLES IST ROT
Chaos_Tower_17|Desert marketplace|Aavikon tori|Mercado do deserto|Рынок в пустыне|沙漠市场|デザートマーケットプレイス|사막 시장|Wüstenmarkt
Chaos_Tower_18|Trippy Hippy Forest|Trippaava hippimetsä|Tropeçando na floresta hippie|Поляна Хиппи|跳嬉皮森林|ヒッピーの森をつまずく|히피 숲 배신|Hippie-Wald stolpern
Chaos_Tower_19|Flower fields|Kukkapellot|Campos de flores|Цветочная Поляна|花田|花畑|꽃밭|Blumenfelder
Chaos_Tower_20|Walls walls walls|Seiniä seiniä seiniä|Paredes paredes paredes|Стены Стены Стены|墙墙墙|壁壁壁|벽 벽 벽|Wände Wände Wände
Chaos_Tower_21|Karp King's treasure room|Karppikuninkaan aarrehuone|Sala do tesouro de Karp King|Сокровищница Короля Карпов|卡普·金的宝藏室|カープキングの宝庫|Karp King의 보물 방|Karp Kings Schatzkammer
Chaos_Tower_22|Half-Cut Forest|Hakkuualue|Floresta Meio Cortada|Полувырубленный лес|半切森林|ハーフカットフォレスト|하프 컷 포레스트|Halb geschnittener Wald
Chaos_Tower_23|Volcanic Grounds|Tuliperäiset maastot|Terrenos Vulcânicos|Вулканические земли|火山地面|火山の敷地|화산 지대|Vulkangrund
Chaos_Tower_24|It's just a regular village|Tämä on vain tavallinen kylä|É apenas uma vila normal|Просто обычная деревня|这只是一个普通的村庄|ただの普通の村です|그냥 평범한 마을|Es ist nur ein normales Dorf
Chaos_Tower_25|It's just a snowy village|Tämä on vain luminen kylä|É apenas uma aldeia nevada|Просто заснеженная деревня|这只是一个白雪皑皑的村庄|ただの雪の村です|그냥 눈 덮인 마을|Es ist nur ein schneebedecktes Dorf
Chaos_Tower_26|Pumpkin Fields|Kurpitsapellot|Campos de abóbora|Тыквенные поля|南瓜田|カボチャ畑|호박 밭|Kürbisfelder
Chaos_Tower_27|Gurag's castle|Guragin linna|Castelo de Gurag|Замок Гурага|古拉格城堡|グラグの城|구라 그의 성|Gurags Schloss
Chaos_Tower_28|Mine, it's all mine|Kaivos, kaikki on kaivosta|Mina é tudo mina|Добыча, моя добыча|矿业，都是矿业|鉱山、すべてが鉱山です。|탄광꺼, 다 탄광 꺼야|Bergwerk, es ist alles bergwerk
Chaos_Tower_29|Fool's Inoya|Typeryksen Inoya|Inoya do tolo|Иная Иноя|愚人节|愚か者のいのや|바보의 이노 야|Narr Inoya
Chaos_Tower_30|Death desert|Kuoleman aavikko|Deserto da morte|Пустыня Смерти|死亡沙漠|死の砂漠|죽음의 사막|Todeswüste
Chaos_Tower_31|Blizzard On Mountain|Lumimyrsky vuoristossa|Nevasca na montanha|Метелица на Горе|暴风雪在山上|山の吹雪|산에 눈보라|Schneesturm am Berg
Chaos_Tower_32|Dark Plain Field|Synkkä paljas pelto|Campo plano escuro|Поле Тьмы|黑暗平原|暗い平野|다크 플레인 필드|Dunkles einfaches Feld
Chaos_Tower_33|Wailing woods|Itkumetsä|Bosque das Lamentações|Плачущий Лес|哭林|嘆きの森|울부 짖는 숲|Wehklagender Wald
Chaos_Tower_34|Tomb of Anubis|Anubiksen hautakammio|Tumba de Anubis|Могила Анубиса|阿努比斯之墓|アヌビスの墓|아누비스의 무덤|Grab von Anubis
Chaos_Tower_35|It's time to stop time|On aika pysäyttää aika|É hora de parar o tempo|Временная остановка времени|该停止时间了|時間を止める時が来た|시간을 멈출 시간이야|Es ist Zeit, die Zeit anzuhalten
Chaos_Tower_36|Mariana Trench|Mariaanien hauta|Fossa das Marianas|Марианская Впадина|马里亚纳海沟|マリアナ海溝|마리아나 해구|Marianengraben
Chaos_Tower_37|Eden|Eeden|Éden|Эдем|伊甸园|エデン|에덴 동산|Eden
Chaos_Tower_38|Digging a hole|Kaivellen kuoppaa|Cavando um buraco|Яму копаем.|挖一个洞|穴を掘る|구멍 파기|Ein Loch graben
Chaos_Tower_39|Submerged insanity|Upotettu hulluus|Insanidade submersa|Подводное безумие|淹没的精神错乱|水中の狂気|물에 잠긴 광기|Untergetauchter Wahnsinn
Chaos_Tower_40|Hallucinations|Hallusinaatioita|Alucinações|Галлюцинации|幻觉|幻覚|환각|Halluzinationen
Chaos_Tower_41|Jungle village|Viidakkokylä|Aldeia da selva|Деревня в джунглях|丛林村|ジャングルの村|정글 빌리지|Dschungeldorf
Chaos_Tower_42|Candyland|Karkkila|Terra de doces|Конфетоляндия|糖果乐园|キャンディランド|사탕의 땅|Süßigkeitenland
Chaos_Tower_43|The Pit|Monttu|O pit|Яма|坑|ピット|구덩이|Die Grube
Chaos_Tower_44|1st floor of hell: Limbo|Helvetin 1. taso: Limbo|1º andar do inferno: Limbo|1-й этаж ада: Лимбо|地狱1楼：凌波|地獄の1階：リンボ|지옥 1 층 림보|1. Stock der Hölle: Schwebe
Chaos_Tower_45|2nd floor of hell: Lust|Helvetin 2. taso: Himo|2º andar do inferno: luxúria|2-й этаж ада: Похоть|地狱二楼：欲望|地獄の2階：欲望|지옥 2 층 : 정욕|2. Stock der Hölle: Lust
Chaos_Tower_46|3rd floor of hell: Gluttony|Helvetin 3. taso: Ylensyönti|3º andar do inferno: Gula|3-й этаж ада: Чревоугодие|地狱三楼：暴食|地獄の3階：大食い|지옥 3 층 : 열성|3. Stock der Hölle: Völlerei
Chaos_Tower_47|4th floor of hell: Greed|Helvetin 4. taso: Ahneus|4º andar do inferno: ganância|4-й этаж ада: Жадность|地狱4楼：贪婪|地獄の4階：貪欲|지옥 4 층 : 탐욕|4. Stock der Hölle: Gier
Chaos_Tower_48|5th floor of hell: Anger|Helvetin 5. taso: Viha|5º andar do inferno: raiva|5-й этаж ада: Гнев|地狱5楼：愤怒|地獄の5階：怒り|지옥 5 층 : 분노|5. Stock der Hölle: Wut
Chaos_Tower_49|6th floor of hell: Heresy|Helvetin 6. taso: Harhaoppi|6º andar do inferno: heresia|6-й этаж ада: Ересь|地狱6楼：异端|地獄の6階：異端|지옥 6 층 : 이단|6. Stock der Hölle: Häresie
Chaos_Tower_50|7th floor of hell: Violence|Helvetin 7. taso: Väkivalta|7º andar do inferno: violência|7-й этаж ада: Насилие|地狱7楼：暴力|地獄の7階：暴力|지옥 7 층 : 폭력|7. Stock der Hölle: Gewalt
Chaos_Tower_51|8th floor of hell: Fraud|Helvetin 8. taso: Huijaus|8º andar do inferno: fraude|8-й этаж ада: Обман|地狱8楼：欺诈|地獄の8階：詐欺|지옥 8 층 : 사기|8. Stock der Hölle: Betrug
Chaos_Tower_52|9th floor of hell: Treachery|Helvetin 9. taso: Petos|9º andar do inferno: Traição|9-й этаж ада: Предательство|地狱9楼：背叛|地獄の9階：裏切り|지옥 9 층 : 배신|9. Stock der Hölle: Verrat
Chaos_Tower_53|Nice and calm lakeside|Mukava rauhallinen järvenranta|Agradável e calmo à beira do lago|Тихий берег озера|宁静的湖边|素敵で穏やかな湖畔|멋지고 고요한 호숫가|Schöner und ruhiger Seeufer
Chaos_Tower_54|Energy of Valhalla|Energy of Valhalla|Energy of Valhalla|Energy of Valhalla|Energy of Valhalla|Energy of Valhalla|Energy of Valhalla|Energy of Valhalla
Chaos_Tower_55|Vanaheim Ridge|Vanaheim Ridge|Vanaheim Ridge|Vanaheim Ridge|Vanaheim Ridge|Vanaheim Ridge|Vanaheim Ridge|Vanaheim Ridge
Chaos_Tower_56|OMGEVERYTHINGISBLUE|VOIEIKAIKKIONSINISTÄ|TUDO É AZUL|ВСЕ СИНЕЕ|一切都是蓝色|すべてが青です|모든 것이 파란색입니다|ALLES IST BLAU
Chaos_Tower_57|Ruby mine|Rubiinikaivos|Ruby meu|Рубиновая шахта|红宝石矿|Ruby鉱山|루비 광산|Ruby Mine
Chaos_Tower_58|Floating Islands|Leijuvat saaret|Ilhas flutuantes|Плавучие острова|浮岛|浮島|떠 다니는 섬|Schwimmende Inseln
Chaos_Tower_59|Snowy Forest|Luminen metsä|Floresta nevada|Снежный Лес|白雪皑皑的森林|雪に覆われた森|눈 덮인 숲|Schneewald
Chaos_Tower_60|BARREL REALM|TYNNYRIULOTTUVUUS|REINO DE BARRIL|МИР БОЧЕК|酒桶领域|バレルリアルム|배럴 영역|FASSREICH
Chaos_Tower_61|Construction site|Työmaa|Local de construção|Строительная площадка|工地|建設現場|건설 현장|Baustelle
Chaos_Tower_62|Arcade|Pelihalli|Fliperama|Игровые Автоматы|拱廊|アーケード|아케이드|Arkade
Chaos_Tower_63|South pole|Etelänapa|Pólo Sul|Южный полюс|南极|南極|남극|Südpol
Chaos_Tower_64|Making of Chaos Tower|Kaaostornin tekeminen|Torre do caos|Строительство Башни Хаоса|混沌塔的制作|カオスタワー作り|카오스 타워 만들기|Herstellung von Chaosturm
Chaos_Tower_65|Chocolate factory|Suklaatehdas|Fábrica de Chocolate|Шоколадная фабрика|巧克力工厂|チョコレート工場|초콜릿 공장|Schokoladenfabrik
Chaos_Tower_66|Keygen.exe?|Keygen.exe?|Keygen.exe?|Keygen.exe?|Keygen.exe?|Keygen.exe?|Keygen.exe?|Keygen.exe?
Chaos_Tower_67|Event horizon|Tapahtumahorisontti|Horizonte de eventos|Горизонт Событий|活动范围|事象の地平線|중대한 전환점|Ereignishorizont
Chaos_Tower_68|Realm of Helheim|Realm of Helheim|Realm of Helheim|Realm of Helheim|Realm of Helheim|Realm of Helheim|Realm of Helheim|Realm of Helheim
Chaos_Tower_69|Mevius' Manor|Meviuksen kartano|Solar de Mevius|Поместье Мевуса|梅维乌斯庄园|メビウスの邸宅|뫼비우스의 저택|Mevius 'Herrenhaus
Chaos_Tower_70|Shadow Realm|Varjomaailma|Reino das sombras|Царство Теней|影子境界|シャドウレルム|그림자 영역|Schattenreich
Chaos_Tower_71|FU who made this v2.0|FU who made this v2.0|FU who made this v2.0|FU who made this v2.0|FU who made this v2.0|FU who made this v2.0|FU who made this v2.0|FU who made this v2.0
Chaos_Tower_72|Forest Spa|Metsäkylpylä|Spa florestal|Лесной курорт|森林温泉|フォレストスパ|포레스트 스파|Waldbad
Chaos_Tower_73|Mining rails|Kaivosraiteet|Trilhos de mineração|Шахтёрские ж/д пути|采矿轨|マイニングレール|마이닝 레일|Schienen abbauen
Chaos_Tower_74|Narrow paths|Kapeat polut|Caminhos estreitos|Узкая Тропинка|狭窄的道路|狭い道|좁은 경로|Schmale Wege
Chaos_Tower_75|Ruby, oh ruby|Rubiini, oi rubiini|Rubi oh rubi|Рубин, о рубин|露比红宝石|ルビー、ああルビー|루비, 오 루비|Ruby, oh Ruby
Chaos_Tower_76|The Factory|Tehdas|A fabrica|Фабрика|该工厂|工場|공장|Die Fabrik
Chaos_Tower_77|Psychosis|Psykoosi|Psicose|Психоз|精神病|精神病|정신병|Psychose
Chaos_Tower_78|Spooky Scary Skeletons|Karmeat pelottavat luurangot|Esqueletos assustadores assombrados|Жуткие Страшные Скелеты|怪异的恐怖骷髅|不気味な怖いスケルトン|으스스한 무서운 해골|Gruselige gruselige Skelette
Chaos_Tower_79|Submerged psychosis|Upotettu psykoosi|Psicose submersa|Подводный психоз|淹没性精神病|水中精神病|잠긴 정신병|Untergetauchte Psychose
Chaos_Tower_80|Timeless Temple Ruins|Ajattoman temppelin rauniot|Ruínas de templo atemporais|Руины Вечного Храма|永恒的圣殿遗址|時代を超越した寺院の遺跡|시대를 초월한 사원 유적|Zeitlose Tempelruinen
Chaos_Tower_81|Haunted Cemetary|Riivattu hautausmaa|Cemitério Assombrado|Кладбище с привидениями|闹鬼的墓地|お化け墓地|유령 묘지|Spukfriedhof
Chaos_Tower_82|Mr. Burns' Office|Herra Burnsin toimisto|Escritório do Sr. Burns|Кабинет мистера Бёрнса|伯恩斯先生的办公室|バーンズ氏のオフィス|번즈 씨 사무실|Mr. Burns 'Büro
Chaos_Tower_83|The ridge|Harjanne|O cume|Расщелина|山脊|尾根|능선|Der Grat
Chaos_Tower_84|No demons allowed|Pääsy demoneilta kielletty|Não são permitidos demônios|Демонам вход воспрещен|不允许恶魔|悪魔は許可されていません|악마는 허용되지 않습니다|Keine Dämonen erlaubt
Chaos_Tower_85|Cat Realm|Kissaulottuvuus|Reino do gato|Мир Кошек|猫境|猫の領域|고양이 영역|Katzenreich
Chaos_Tower_86|The F1 racetrack|F1 kilparata|A pista de F1|Гоночная трасса F1|F1赛车场|F1競馬場|F1 경마장|Die F1-Rennstrecke
Chaos_Tower_87|Pyromaniac|Pyromaani|Piromaníaco|Пироманьяк|纵火狂|放火癖|파이로 매니아|Pyromane
Chaos_Tower_88|Fabric of reality|Todellisuuden rakenteet|Tecido da realidade|Ткань реальности|现实的构造|現実の構造|현실의 구조|Stoff der Realität
Chaos_Tower_89|Clouds|Pilvet|Nuvens|Облака|乌云|雲|구름|Wolken
Chaos_Tower_90|Heaven|Taivas|Céu|Небеса|天堂|天国|천국|Himmel
Chaos_Tower_91|Christmas Spa Lounge|Joulukylpylän aula|Salão spa de natal|Рождественский спа-салон|圣诞水疗休息室|クリスマススパラウンジ|크리스마스 스파 라운지|Weihnachts Spa Lounge
Chaos_Tower_92|Damien's playground|Damienin leikkikenttä|Playground de Damien|Детская площадка Дэмиена|达米安的游乐场|ダミアンの遊び場|데미안의 놀이터|Damiens Spielplatz
Chaos_Tower_93|Halloween|Halloween|dia das Bruxas|Хэллоуин|万圣节|ハロウィーン|할로윈|Halloween
Chaos_Tower_94|Tentacle Realm|Lonkeroulottuvuus|Reino tentáculo|Мир Тентаклей|触手领域|触手領域|촉수 영역|Tentakelreich
Chaos_Tower_95|PAS Office|PAS Toimisto|Escritório PAS|Офис PAS|PAS办公室|PASオフィス|PAS 사무실|PAS-Büro
Chaos_Tower_96|LAN party|Lanit|Festa LAN|Компьютерный клуб|局域网派对|LANパーティー|LAN 파티|LAN-Party
Chaos_Tower_97|Kindergarten|Lastentarha|Jardim de infância|Детский сад|幼稚园|幼稚園|유치원|Kindergarten
Chaos_Tower_98|Trailer Park|Asuntovaunualue|Estacionamento de trailers|Трейлерный парк|拖车停车场|トレーラーパーク|트레일러 공원|Wohnwagensiedlung
Chaos_Tower_99|Welcome to the rice Fields|Tervetuloa riisipelloille|Bem-vindo aos campos de arroz|Добро пожаловать на рисовые поля|欢迎来到稻田|田んぼへようこそ|논에 오신 것을 환영합니다|Willkommen in den Reisfeldern
Chaos_Tower_100|Don’t be Toxic!|Don’t be Toxic!|Don’t be Toxic!|Don’t be Toxic!|Don’t be Toxic!|Don’t be Toxic!|Don’t be Toxic!|Don’t be Toxic!
Chaos_Tower_101|Server Farm|Server Farm|Server Farm|Server Farm|Server Farm|Server Farm|Server Farm|Server Farm
Chaos_Tower_102|St. Wooxys Worst Enemy|St. Wooxys Worst Enemy|St. Wooxys Worst Enemy|St. Wooxys Worst Enemy|St. Wooxys Worst Enemy|St. Wooxys Worst Enemy|St. Wooxys Worst Enemy|St. Wooxys Worst Enemy
Chaos_Tower_xLobby|Tower Lobby|Tornin Aula|Saguão da torre|Вестибюль башни|塔楼大厅|タワーロビー|타워 로비|Turm Lobby
Chaos_Tower_Boss_1|Ancient Colosseum|Muinainen Areena|Coliseu Antigo|Древний Колизей|古代罗马竞技场|古代コロッセオ|고대 콜로세움|Altes Kolosseum
||||||||
Fields_Boss_rm|Eternal Battlefield|Ikuinen sotatanner|Campo de batalha eterno|Вечная Битва|永恒战场|永遠の戦場|영원한 전장|Ewiges Schlachtfeld
||||||||
Wormhole_1_rm|Chaos Sanctuary|Chaos Sanctuary|Chaos Sanctuary|Святилище Хаоса|Chaos Sanctuary|Chaos Sanctuary|Chaos Sanctuary|Chaos Sanctuary
Wormhole_2_rm|Shores of Mos'Arathim|Shores of Mos'Arathim|Shores of Mos'Arathim|Берега пустыни Мос'Арасим|Shores of Mos'Arathim|Shores of Mos'Arathim|Shores of Mos'Arathim|Shores of Mos'Arathim
Wormhole_3_rm|Swamps of Inoya|Swamps of Inoya|Swamps of Inoya|Болота Иноя|Swamps of Inoya|Swamps of Inoya|Swamps of Inoya|Swamps of Inoya
Wormhole_4_rm|Zumjo Forest|Zumjo Forest|Zumjo Forest|Лес Замьё|Zumjo Forest|Zumjo Forest|Zumjo Forest|Zumjo Forest
Wormhole_5_rm|Far Oasis|Far Oasis|Far Oasis|Далекий Оазис|Far Oasis|Far Oasis|Far Oasis|Far Oasis
Wormhole_6_rm|Glacial Coast|Glacial Coast|Glacial Coast|Ледник|Glacial Coast|Glacial Coast|Glacial Coast|Glacial Coast
Wormhole_7_rm|Westfall Fields|Westfall Fields|Westfall Fields|Поля Вестфолл|Westfall Fields|Westfall Fields|Westfall Fields|Westfall Fields
Wormhole_8_rm|The Deep Sea|The Deep Sea|The Deep Sea|Глубины Океана|The Deep Sea|The Deep Sea|The Deep Sea|The Deep Sea
Wormhole_9_rm|Sacrilegious Tomb|Sacrilegious Tomb|Sacrilegious Tomb|Оскверненная Гробница|Sacrilegious Tomb|Sacrilegious Tomb|Sacrilegious Tomb|Sacrilegious Tomb
Wormhole_10_rm|Highland Sewers|Highland Sewers|Highland Sewers|Канализации|Highland Sewers|Highland Sewers|Highland Sewers|Highland Sewers
Wormhole_11_rm|Kedran Ruins|Kedran Ruins|Kedran Ruins|Kedran Ruins|Kedran Ruins|Kedran Ruins|Kedran Ruins|Kedran Ruins
Wormhole_12_rm|Deep Space Walk|Deep Space Walk|Deep Space Walk|Deep Space Walk|Deep Space Walk|Deep Space Walk|Deep Space Walk|Deep Space Walk
Wormhole_13_rm|Tormenting Flames|Tormenting Flames|Tormenting Flames|Tormenting Flames|Tormenting Flames|Tormenting Flames|Tormenting Flames|Tormenting Flames
Wormhole_14_rm|Frozen Cave|Frozen Cave|Frozen Cave|Frozen Cave|Frozen Cave|Frozen Cave|Frozen Cave|Frozen Cave
Wormhole_15_rm|Tropic River of Rahasa|Tropic River of Rahasa|Tropic River of Rahasa|Tropic River of Rahasa|Tropic River of Rahasa|Tropic River of Rahasa|Tropic River of Rahasa|Tropic River of Rahasa
Wormhole_16_rm|Natural Satellite|Natural Satellite|Natural Satellite|Natural Satellite|Natural Satellite|Natural Satellite|Natural Satellite|Natural Satellite
Wormhole_17_rm|Pathway of Trap Realm|Pathway of Trap Realm|Pathway of Trap Realm|Pathway of Trap Realm|Pathway of Trap Realm|Pathway of Trap Realm|Pathway of Trap Realm|Pathway of Trap Realm
Wormhole_18_rm|Shadow Forest Gro'Rem|Shadow Forest Gro'Rem|Shadow Forest Gro'Rem|Shadow Forest Gro'Rem|Shadow Forest Gro'Rem|Shadow Forest Gro'Rem|Shadow Forest Gro'Rem|Shadow Forest Gro'Rem
Wormhole_19_rm|C20H25N3O|C20H25N3O|C20H25N3O|C20H25N3O|C20H25N3O|C20H25N3O|C20H25N3O|C20H25N3O
Wormhole_20_rm|Divine Pathway|Divine Pathway|Divine Pathway|Divine Pathway|Divine Pathway|Divine Pathway|Divine Pathway|Divine Pathway
Wormhole_21_rm|Eternal Bloom|Eternal Bloom|Eternal Bloom|Eternal Bloom|Eternal Bloom|Eternal Bloom|Eternal Bloom|Eternal Bloom
Wormhole_22_rm|Roots of Life|Roots of Life|Roots of Life|Roots of Life|Roots of Life|Roots of Life|Roots of Life|Roots of Life
Wormhole_23_rm|Temple of Helheim|Temple of Helheim|Temple of Helheim|Temple of Helheim|Temple of Helheim|Temple of Helheim|Temple of Helheim|Temple of Helheim
Wormhole_24_rm|Valhalla Falls|Valhalla Falls|Valhalla Falls|Valhalla Falls|Valhalla Falls|Valhalla Falls|Valhalla Falls|Valhalla Falls
Wormhole_25_rm|Everlasting Chaos|Everlasting Chaos|Everlasting Chaos|Everlasting Chaos|Everlasting Chaos|Everlasting Chaos|Everlasting Chaos|Everlasting Chaos
||||||||
floor|Floor|Kerros|Chão|Этаж|地板|床|바닥|Fußboden
